Name,Sector,Address,City,State,Zip,Waste_Tons,Latitude,Longitude,Source_File
Wellington Grill,Limited-Service Restaurants,2450 Dayton Xenia Rd,Dayton,OH,45434.0,27.0,39.717141,-84.025627,RestaurantsAndFoodServices.xlsx
Wendy,Limited-Service Restaurants,8100 Troy Pike,Dayton,OH,45424.0,19.5,39.991396,-83.955379,RestaurantsAndFoodServices.xlsx
Wheat Penny Oven and Bar,Limited-Service Restaurants,515 Wayne Ave,Dayton,OH,45410.0,4.5,39.755132,-84.180416,RestaurantsAndFoodServices.xlsx
Wheel Be Roastin,Full-Service Restaurants,3322 Roberta Ln,Dayton,OH,45424.0,10.176,39.796638,-84.122454,RestaurantsAndFoodServices.xlsx
Whimsical Kitchen LLC,Full-Service Restaurants,871 Lyncreek Dr,Dayton,OH,45458.0,8.48,39.621692,-84.182036,RestaurantsAndFoodServices.xlsx
Waterford Retirement Living,Limited-Service Restaurants,7847 Lois Cir,Dayton,OH,45459.0,51.0,39.640486,-84.220466,RestaurantsAndFoodServices.xlsx
Shri Restaurants LLC,Full-Service Restaurants,1026 McKinney Ln,Dayton,OH,45458.0,10.176,39.584549,-84.18239,RestaurantsAndFoodServices.xlsx
Tsolo Inc,Limited-Service Restaurants,9154 Dayton Lebanon Pike,Dayton,OH,45458.0,13.5,39.611176,-84.159483,RestaurantsAndFoodServices.xlsx
Toll House Counseling,Full-Service Restaurants,3244 W Alex Bell Rd,Dayton,OH,45449.0,20.352,39.67351,-84.226787,RestaurantsAndFoodServices.xlsx
Bella Amour Artisan Chocolates LLC,Other Grocery and Related Products Merchant Wholesalers,5939 Lancer CT,Dayton,OH,45424.0,0.0,39.863321,-84.128574,FoodWholesaleAndRetail.xlsx
Texas Q and Brew,Full-Service Restaurants,8566 Slagle Rd,Dayton,OH,45458.0,15.264,39.620669,-84.144963,RestaurantsAndFoodServices.xlsx
"Texas Roadhouse, Inc.",Full-Service Restaurants,5611 Merily Way,Dayton,OH,45424.0,157.728,39.868278,-84.135444,RestaurantsAndFoodServices.xlsx
The Coffee Cafe,Full-Service Restaurants,1 Elizabeth Pl,Dayton,OH,45417.0,15.264,39.747865,-84.19923,RestaurantsAndFoodServices.xlsx
Aunty Mom's Spices,All Other Specialty Food Stores,7332 Mad River Rd,Dayton,OH,45459.0,11.6,39.644193,-84.208315,FoodWholesaleAndRetail.xlsx
The Heights Cafe,Full-Service Restaurants,6178 Chambersburg Rd,Dayton,OH,45424.0,20.352,39.845735,-84.117254,RestaurantsAndFoodServices.xlsx
Tropical Smoothie Cafe,Full-Service Restaurants,988 Mmsburg Cnterville Rd,Dayton,OH,45459.0,16.96,39.773777,-84.140339,RestaurantsAndFoodServices.xlsx
The Inn Inc,Full-Service Restaurants,7561 Cloverbrook Park Dr,Dayton,OH,45459.0,18.15,39.635606,-84.118945,RestaurantsAndFoodServices.xlsx
Aum 590,Supermarkets and Other Grocery (except Convenience) Stores,6201 Wilmington Pike,Dayton,OH,45459.0,9.28,39.649531,-84.111083,FoodWholesaleAndRetail.xlsx
The Perkins Family Limited Partnership,Full-Service Restaurants,344 Firwood Dr,Dayton,OH,45419.0,8.48,39.730715,-84.162894,RestaurantsAndFoodServices.xlsx
"Atlanta Flea Market, Inc.",Supermarkets and Other Grocery (except Convenience) Stores,1652 Ladera Trl,Dayton,OH,45459.0,6.96,39.659384,-84.195026,FoodWholesaleAndRetail.xlsx
Tho MI,Full-Service Restaurants,8990 Kingsridge Dr,Dayton,OH,45458.0,11.872,39.630002,-84.22442,RestaurantsAndFoodServices.xlsx
Time Noodles,Full-Service Restaurants,4622 Brandt Pike,Dayton,OH,45424.0,15.264,39.819709,-84.125513,RestaurantsAndFoodServices.xlsx
Tokyo Grill & Sushi Buffet,Full-Service Restaurants,1061 Mmsburg Cntrville Rd,Dayton,OH,45459.0,11.872,39.773777,-84.140339,RestaurantsAndFoodServices.xlsx
The Monchon,Full-Service Restaurants,326 Firwood Dr APT B,Dayton,OH,45419.0,8.48,39.731517,-84.162882,RestaurantsAndFoodServices.xlsx
Shiloh Athletic Club LLC,Full-Service Restaurants,5515 N Main St,Dayton,OH,45415.0,2.711379,39.817919,-84.233364,RestaurantsAndFoodServices.xlsx
Shen's Szechuan & Sushi,Full-Service Restaurants,7580 Poe Ave,Dayton,OH,45414.0,5.013195,39.855011,-84.187683,RestaurantsAndFoodServices.xlsx
Buj Inc The Beverage Doc,All Other Specialty Food Stores,2195 Bandit Trl,Dayton,OH,45434.0,9.28,39.731726,-84.015622,FoodWholesaleAndRetail.xlsx
Paradise Key Cafe,Full-Service Restaurants,3243 Needmore Rd,Dayton,OH,45414.0,18.656,39.820524,-84.167903,RestaurantsAndFoodServices.xlsx
Papa Murphys Pizza,Limited-Service Restaurants,10021 Beaufort Run,Dayton,OH,45458.0,4.5,39.597078,-84.124707,RestaurantsAndFoodServices.xlsx
Papa John's,Limited-Service Restaurants,3706 Germantown Pike,Dayton,OH,45417.0,34.5,39.733501,-84.253338,RestaurantsAndFoodServices.xlsx
Panda Express,Full-Service Restaurants,5381 Cornerstone N Blvd,Dayton,OH,45440.0,9.1127685,39.661092,-84.106818,RestaurantsAndFoodServices.xlsx
P&T Trading LLC,Full-Service Restaurants,1105 Brown St,Dayton,OH,45409.0,44.096,39.74346,-84.182858,RestaurantsAndFoodServices.xlsx
P J Ohio,Limited-Service Restaurants,2008 Mmsburg Cntrville Rd,Dayton,OH,45459.0,15.0,39.771763,-84.128511,RestaurantsAndFoodServices.xlsx
Once A Month Mom LLC,Full-Service Restaurants,4160 Brookdale Ln Unit 6,Dayton,OH,45440.0,42.4,39.659769,-84.094944,RestaurantsAndFoodServices.xlsx
Oinkadoodlemoo,Full-Service Restaurants,3601 Cleveland Ave,Dayton,OH,45410.0,16.96,39.743136,-84.144466,RestaurantsAndFoodServices.xlsx
O'Charley's LLC,Full-Service Restaurants,7030 Miller Ln,Dayton,OH,45414.0,127.2,39.84949,-84.191367,RestaurantsAndFoodServices.xlsx
O'Charley's LLC,Full-Service Restaurants,2260 Mmsburg Cntrville Rd,Dayton,OH,45459.0,110.24,39.773777,-84.140339,RestaurantsAndFoodServices.xlsx
North Village Chinese Restaurant LLC,Full-Service Restaurants,137 Jasper St,Dayton,OH,45409.0,23.744,39.741961,-84.182803,RestaurantsAndFoodServices.xlsx
Nellys Chicken Inc,Limited-Service Restaurants,10101 Beaufort Run,Dayton,OH,45458.0,30.0,39.594775,-84.123564,RestaurantsAndFoodServices.xlsx
"Nakor, LLC",Full-Service Restaurants,4601 Merrick Dr,Dayton,OH,45415.0,15.264,39.814268,-84.238923,RestaurantsAndFoodServices.xlsx
"Muy Hamburger Partners, LLC",Limited-Service Restaurants,8201 State Route 235,Dayton,OH,45424.0,48.0,39.872907,-84.055675,RestaurantsAndFoodServices.xlsx
"Muy Hamburger Partners, LLC",Limited-Service Restaurants,7435 Brandt Pike,Dayton,OH,45424.0,43.5,39.859917,-84.10567,RestaurantsAndFoodServices.xlsx
"Muy Hamburger Partners, LLC",Limited-Service Restaurants,731 E Central Ave,Dayton,OH,45449.0,1.5,39.676714,-84.242071,RestaurantsAndFoodServices.xlsx
"Muy Hamburger Partners, LLC",Limited-Service Restaurants,6199 Wilmington Pike,Dayton,OH,45459.0,1.5,39.650455,-84.110824,RestaurantsAndFoodServices.xlsx
Midwest First Star Inc.,Limited-Service Restaurants,1189 Lyons Rd,Dayton,OH,45458.0,13.5,39.626434,-84.194907,RestaurantsAndFoodServices.xlsx
Midwest First Star Inc.,Limited-Service Restaurants,7508 Brandt Pike,Dayton,OH,45424.0,1.5,39.860974,-84.103861,RestaurantsAndFoodServices.xlsx
Mikes Nashville Hot,Full-Service Restaurants,6228 Far Hills Ave,Dayton,OH,45459.0,8.48,39.655448,-84.156665,RestaurantsAndFoodServices.xlsx
Mouthpieceguys.com,Full-Service Restaurants,5 Rita St,Dayton,OH,45404.0,15.264,39.776119,-84.167987,RestaurantsAndFoodServices.xlsx
Mr Burrito LLC,Full-Service Restaurants,2795 Culver Ave,Dayton,OH,45429.0,11.872,39.705912,-84.13389,RestaurantsAndFoodServices.xlsx
Mr Edventures Inc,Full-Service Restaurants,1081 Star Valley CT,Dayton,OH,45458.0,13.568,39.612701,-84.149247,RestaurantsAndFoodServices.xlsx
Pat's Kitchen LLC,Full-Service Restaurants,1616 Oakridge Dr,Dayton,OH,45417.0,5.088,39.758108,-84.232183,RestaurantsAndFoodServices.xlsx
Mr Fish,Full-Service Restaurants,1135 N Gettysburg Ave,Dayton,OH,45417.0,11.872,39.761267,-84.253847,RestaurantsAndFoodServices.xlsx
Camel Milk America LLC,Dairy Product (except Dried or Canned) Merchant Wholesalers,281 Walnut Grove Dr,Dayton,OH,45458.0,0.0,39.597811,-84.170227,FoodWholesaleAndRetail.xlsx
